,name,city,state
523,Aspen Brewing Company,Aspen,Colorado
524,Triangle Brewing Company,Durham,North Carolina
525,Bomb Beer Company,New York,New York
526,Churchkey Can Company,Seattle,Washington
527,Intuition Ale Works,Jacksonville,Florida
528,Asheville Brewing Company,Asheville,North Carolina
529,Northwoods Brewpub,Eau Claire,Wisconsin
530,Buckbean Brewing Company,Reno,Nevada
531,Dolores River Brewery,Dolores,Colorado
532,Flat Rock Brewing Company,Smithton,Pennsylvania
533,Abita Brewing Company,Abita Springs,Louisiana
534,Mammoth Brewing Company,Mammoth Lakes,California
535,Harvest Moon Brewing Company,Belt,Montana
536,Grand Canyon Brewing Company,Williams,Arizona
537,Lewis and Clark Brewing Company,Helena,Montana
538,Dundee Brewing Company,Rochester,New York
539,Twin Lakes Brewing Company,Greenville,Delaware
540,Mother Earth Brewing Company,Kinston,North Carolina
541,Arcadia Brewing Company,Battle Creek,Michigan
542,Angry Minnow Brewing Company,Hayward,Wisconsin
543,Great Northern Brewing Company,Whitefish,Montana
544,Pyramid Breweries,Seattle,Washington
545,Lancaster Brewing Company,Lancaster,Pennsylvania
546,Upstate Brewing Company,Elmira,New York
547,Moat Mountain Smoke House & Brew...,North Conway,New Hampshire
548,Prescott Brewing Company,Prescott,Arizona
549,Mogollon Brewing Company,Flagstaff,Arizona
550,Wind River Brewing Company,Pinedale,Wyoming
551,Silverton Brewery,Silverton,Colorado
552,Mickey Finn's Brewery,Libertyville,Illinois
553,Covington Brewhouse,Covington,Louisiana
554,Dave's Brewfarm,Wilson,Wisconsin
555,Ukiah Brewing Company,Ukiah,California
556,Butternuts Beer and Ale,Garrattsville,New York
557,Sleeping Lady Brewing Company,Anchorage,Alaska
